id;RegNo;Name;Street;City;Phone;RT90NorthSouth;RT90EastWest;URL;IndustryCodes
iLSWRRZZs_;165566328794;Spektrakliniken AB;Vallgatan 8;GÖTEBORG;031-7434545;6404112;1270994;www.spektrakliniken.com;125
0LTTlllPj2;165164036534;Domlux Fönster;Nybohovsbacken 23;STOCKHOLM;08-7117575;6578547;1626339;www.domlux.net;41,301
xPZZs55X4v;165563960854;Allslam i Linköping AB;Ottargatan 10;LINKÖPING;013-84145;6477617;1490347;www.allslam.se;359,296
i00LWP2Zs_;169696748301;Pizza Express;;;08-195454;;;www.pizzaexpress.se;284,269
xglCvquucE;165560305921;Coop Nära;Kungsgatan 52;FURULUND;010-7416250;6186326;1330127;www.coop.se;267,268,1143,1140
zglj---4vm;168024209887;Föreningen Inspirationsforum Sverige;;;08-6583420;;;www.inspirationsforum.se;85
hxSPCX44vm;165566360920;T V Schakt & Transport AB;Anläggarvägen 5;HANDEN;08-50020040;6563400;1634395;www.grundomark.se;218
ydSjsvmmOU;165567534457;Järn & Plåt i Lidköping AB;Änghagsgatan 11;LIDKÖPING;0510-21600;6488731;1347368;www.jarnoplat.se;36,525
idg2222Zs_;165565959557;Svensk Fastighetsförmedling Stenungsund;Strandvägen 12;STENUNGSUND;0303-81400;6445445;1264832;www.svenskfast.se/stenungsund;258,559
xSj2sCCw5-;162120000142;Förskolan Aprikos;Aprikosgatan 64;HÄSSELBY;08-50804252;6583995;1615514;www.stockholm.se/aprikosgatan64;175
hgP2--mnOU;165568500515;Pöyry Sweden AB;Ruddammsgatan 30;GÄVLE;08-4504870;6729520;1573059;www.poyry.se;406
dW_nnGkoJA;165566600473;Motorstyrkan AB;Sandåsavägen 1;OSKARSHAMN;0491-77544;6347201;1537913;www.motorstyrkan.se;153,155
0Lgj555-X4;165564164209;Ravensberg Consulting AB;Sofiavägen 3;HALMSTAD;035-188111;6287672;1318987;www.ravensberg.se;233
hxRjjXXvnO;165569278830;Golfrestaurangen i Ljusdal AB;Långbo 12;DELSBO;0651-16680;6854781;1533888;Facebook;269
VTjZvbAK7e;165560813726;Crispin;Valbo Köpcentrum;VALBO;026-132420;6724634;1565034;www.crispin.se;75
VSgZs____C;162120001397;Stadsarkitektkontor;Varvsvägen 1;UDDEVALLA;0522-97572;6476542;1271184;www.uddevalla.se;254
LLzMPsX4vm;165567097216;Nordic Wellness Odenplan;Västmannagatan 44A;STOCKHOLM;010-1555453;6582126;1627673;www.nordicwellness.se;104
~RZ5OkEEaQ;165560688565;LINDEX;Verkövägen 7;LYCKEBY;010-4526211;6229827;1489813;www.lindex.se;581,69
~~gW244mOU;165565880373;Time Sävar;Kungsvägen 2;SÄVAR;090-50391;7096324;1732651;www.timebutikerna.se;267
yxlZ_XnOU1;194506039199;Språkbokhandeln - Franska Bokhandeln;Lilla Tvärgatan 21;LUND;046-128568;6177719;1335902;www.sprakbokhandeln.se;33,62
y~SRZ_5-X4;165560468810;Polyclad Europe AB;Perstorp AB;PERSTORP;0435-767900;6224747;1349818;www.cooksonelectronics.com;373
zSWZX1KK7e;165560688565;LINDEX;Kungsgatan 50;GÖTEBORG;010-4526153;6404246;1271303;www.lindex.se;69
y0zM2XGGqb;165560305921;Coop Konsum;Södra Stenbocksgatan 127;HELSINGBORG;010-7418590;6216789;1307222;www.coop.se;268,1143,1140
L~STlllPj2;165563813038;Teknikmagasinet;Stores Gränd 3;HANDEN;010-7053318;6563280;1633490;www.teknikmagasinet.se;32
LTljZssss_;168585000873;Uddevalla Idrottssällskap;Rimnersgatan 13;UDDEVALLA;0522-15739;6476883;1274447;klubben.se/uis;19
VglCnqoJAK;165565880266;Maxi ICA Stormarknad;Cypressvägen 4;MALMÖ;040-143300;6163881;1325410;www.ica.se;268,1145,1140,148
L~R2XOkooJ;165562432046;Bokföringstjänst i Mönsterås AB;Järnvägsgatan 39;HÖGSBY;0491-20199;6337202;1513782;www.bokforingstjanst-monsteras.se;249
Vhh~MRllPj;196703149309;Commit;Klockartorpsgatan 16;VÄSTERÅS;021-403140;6610649;1543506;www.commit.se;6
dgPjC4OU1H;165565589081;Valen Custom Shop AB;Birger Svenssons Väg 16;VARBERG;0340-677441;6338565;1285307;www.valencustomshop.se;539
LST2Zs5X4v;165566651229;Maxi ICA Stormarknad;Genetaleden 9;SÖDERTÄLJE;08-52206800;6564260;1601401;www.ica.se;268,1145,1140,148
V~WWljj2Zs;165560305921;Coop Konsum;Lugnets Allé 21;STOCKHOLM;010-7418020;6577997;1630889;www.coop.se;268,1145,1140
hTTgjwX4vm;165563170272;Heikkis & Idepoolen AB;Banvägen 7;LULEÅ;0920-228070;7293214;1790820;www.heikkis-idepoolen.se;217
idllsvbbko;165566581202;Pressbyrån;Nils Ericsonsplatsen;GÖTEBORG;031-158964;6404839;1271557;www.pressbyran.se;267,1143,1140
xP555OUHGq;165564791456;Capio S:t Görans Sjukhus;Sankt Göransplan 1;STOCKHOLM;08-58701000;6581378;1626089;www.capiostgoran.se;107,111
dMMMP_nnOU;165171000119;Bröllopsmagasinet;Björbäcksvägen 9;UDDEVALLA;0522-681190;6476456;1276494;www.brollopsmagasinet.se;97
xjjswX4vmn;162321000131;Folktandvården Västra Götaland Ortodonti;Fabriksgatan 4;LIDKÖPING;010-4417370;6490140;1345698;www.vgregion.se/ortodonti/lidkoping;113
zMZ4UAAK7e;167164089091;Grebbestads Info Center;Nedre Långgatan 48;GREBBESTAD;0525-10080;6516316;1236363;www.grebbestad.se;135,136
izSMR255-X;165564404266;Olympus;Hulda Mellgrens Gata 3;VÄSTRA FRÖLUNDA;031-679480;6398071;1270344;newwaveprofile.com/olympus;517,247,217
ihLzMjCw5-;165567241939;Restaurang HamnaRätt;Stora Varvsgatan 11H;MALMÖ;040-126370;6168399;1322542;www.hamnaratt.com;269
i0zll__Cw5;165562339142;Ticket;Per Albin Hanssons Väg 40;MALMÖ;040-71210;6164865;1323325;http://www.ticket.se/?ase.bbokaresa.c2015-11.ds.ehitta.ffxp.ggeneric.hgeneric.ir.jfl;134
hSWRCwmnOU;165567412340;Västerviks-Tidningen AB;Kungsvägen 21;ANKARSRUM;0490-50011;6397339;1531536;www.vt.se;97
LLWZ_4mnOU;195309074630;Abub Ullareds Brunnsborrning;Bössgård 202;ULLARED;0346-23500;6331758;1309656;www.abub.se;959,170
zRl_nGqbko;165560599473;Systembolaget;Genetaleden 7;SÖDERTÄLJE;08-55036010;6564261;1601112;www.systembolaget.se;292
~~TRlC4vmn;165560849191;Sapa Building System AB;Metallvägen;VETLANDA;0383-94200;6365890;1456298;www.sapabuildingsystem.se;395
yxRl2-vvnO;196412164003;Susanne Granberg Skin Care;Stora Södergatan 58A;LUND;070-5451768;6177275;1335520;www.sgskincare.se;125
xxPss55-X4;165565401493;Accent;Stadt Hamburgsgatan 7;MALMÖ;040-240301;6167291;1323361;www.accent.se;60,459
LxP24UU1HG;165562339142;Ticket;Nygatan 4;SÖDERTÄLJE;08-40005130;6565078;1604089;http://www.ticket.se/?ase.bbokaresa.c2015-11.ds.ehitta.ffxp.ggeneric.hgeneric.ir.jfl;134
izlCObbkoJ;162120001892;Vikene Fritidshem;Vikene Skola;BRUNSKOG;0570-38736;6619539;1335150;www.arvika.se;175
y~TZCC5X4v;165566120027;Admax AB;Bildhuggarvägen 17;JOHANNESHOV;08-52509710;6577087;1629412;www.admax.se;410
VzxWj2__w5;197208017512;Kilafors Svets;Västerberg 3042;KILAFORS;070-6282327;6789328;1537621;www.kilaforssvets.se;171
dWllP-mHGq;165565740437;Evas Tyger & Ting;Rönneholmsgatan 16;ÄNGELHOLM;0431-19009;6239732;1317434;www.evastygeroting.se;48,51
VTgP2ss_Cw;165560305921;Coop Konsum;Centralgatan 11;NYNÄSHAMN;010-7417450;6533274;1623433;www.coop.se;268
dRs5UJucEa;165564746146;2 rum o kök;Stora Gatan 3;VÄSTERÅS;021-185858;6610340;1542207;www.2rumochkok.gastrogate.com;293,291,503,269
xS22w-vvnO;165564745072;Unlimited Licenses AB;Banehagsliden 2;GÖTEBORG;031-7203000;6402600;1267543;www.unlimited-lic.se;1459
ySMRsss4vm;197004180670;Accessoarer & Smycke grossisten i Helsingborg;Box 5043;HELSINGBORG;090-6958004;;;www.smyckesgrossisten.se;79
i0xRP22Zs_;165560305921;Coop Nära;Jaktplan 1;JÄRFÄLLA;010-7417260;6588713;1617165;www.coop.se;267,268,1145,1140
xMs_mmGqbk;165566648704;Eldabutiken i Oskarström;Valhallagatan 1;OSKARSTRÖM;035-60300;6301066;1326464;www.halmstadbrasvarme.se;15
xWR25544mn;168940023917;Västerbottens Medicinhistoriker;Norrlands Universitetssjukhus;UMEÅ;090-7853361;7086670;1721173;www.medhistumea.se;91
VTPC5-vvnO;167696014013;Auctores Böcker;Helgeandsgatan 7;VADSTENA;070-8500552;6480998;1446495;www.auctores.se;899
~RZCOb77uc;165565202420;Nitta Busstrafik AB;Vings Sjögården 215;HÖKERUM;0321-52361;6411373;1348768;;639,128
hdxT2C-X4v;194412146435;Hallbergs Rör;Rörläggarevägen 5;MUNKFORS;0563-50086;6636098;1372726;;170
LWWP_5UGqb;162321000032;Barnavårdscentral;Eskilstunavägen 34;STRÄNGNÄS;0152-26023;6584741;1568260;;103
yVTMl2XXvm;165568156532;Mathias Grips Åkeri AB;Elov Moos Väg 2;ALMUNGE;070-2578885;6641677;1625362;;387,218
h~gjC-mqbk;165568503386;Nordiska Takbehandlingar AB;Önum Kyrkbacken;VARA;0512-60000;6463363;1335747;;296
xTZ5X4444v;194912274646;Bögårdens Stugby;Ärtemark Bögården 3;BENGTSFORS;0531-32322;6550406;1290060;;231,135
VTjwwnooAK;198401157568;Ivanas Kök & Catering;Kungsängsgatan 59G;UPPSALA;018-710550;6638160;1603784;;291
hTgl54nUHG;165590326632;Göteborg Audio Video AB;Granvägen 9;NOL;070-8452269;6427849;1279012;;593
0xWss_-U1H;165564853314;Linderoths Cykel AB;Källaregatan 10;LIDKÖPING;0510-20552;6489967;1345554;;78,537
iL~zTTZss_;165560613456;Hedin Bil;Torggatan 56;VARA;0512-57350;6462695;1333290;;153
zR2XG7EQB6;196501035056;MN Marin;Flatön 626;ELLÖS;0304-55550;6462362;1246149;;153,63
zgMZ4vqoJA;162021000225;Kriminalvården Anstalten Ystad;Norra Zinkgatan 6;YSTAD;0411-351400;6148421;1376280;;399
iddSSlZX4v;167696131270;Bostadsrättsföreningen Timmermannen 13;Soldatgatan 15;VAXHOLM;08-54175950;6589762;1643849;;12
hzdxWjXnOU;196304257816;Tjärnberg Lars;Norra Ringvägen 21;HÄRNÖSAND;070-3734992;6949301;1608944;;395
0~SSlC-U1H;165567277685;Klövern Laura AB;Platensgatan 26;LINKÖPING;013-137543;6477163;1489018;;13
LdxP--OOU1;169168992411;Innature West Handel;Velingstorpsvägen 21;KINNA;0320-35300;6379558;1311215;;105
xSRss_5X4v;197001072524;Andréen Ulrica;Baronvägen 12;VETLANDA;073-0886065;6364978;1456555;;231
~STZwnOOOU;169696865337;Cafe Charlie;Stationsvägen 18;FAGERSTA;0223-10740;6653917;1499484;;264,269
yxjC4G77uc;165568049281;Symaskinsexperten i Göteborg AB;Aröds Industriväg 76;HISINGS BACKA;031-510070;6408452;1270623;;50
dxSjj2_w-X;199209092320;Freewiwclick;Tenorvägen 59;SKOGÅS;076-3935892;6568857;1634483;;18,567
VhTRjCX1HG;198708312908;Salong Furan;Furugatan 13B;VIMMERBY;0492-13480;6394518;1503165;;187
yhgWRCCC5-;165563936375;Hammarsmedens Svets AB;Hammarsmedsgatan 13A;MARIESTAD;0501-16060;6508439;1385195;;171,395
iyyhxP_Cw5;196410040593;preem;Gravryd Furudal;RÅNGEDALA;033-279292;6408996;1340399;;184
hMljw4vvvm;196704166203;Hårcentralen;Ringgatan 18;VÄSE;054-840672;6586622;1388926;;187
L~SglCCCw5;165563225605;Högab Skog AB;Högabråten;SKILLINGARYD;0370-70431;6366598;1396011;;231
zzgj54mmnO;165561961763;Påryds Bensin & Bilservice AB;Industrigatan 8;PÅRYD;0480-91086;6270756;1506965;;184
VVhTM_CnOU;165567333389;Prästgårdens Hvb AB;Alskog Prästgården 166;LJUGARN;0498-290010;6359687;1669874;;536
zWRlwXnO1H;193502258431;Curt Bergman;Bygatan 20;TÄNNÄS;0684-24045;6929192;1340074;;231
dS2_4mHbko;197607223901;Transwe;Brännarevägen 4B;LÖDDEKÖPINGE;070-9224992;6184801;1324043;;269
hgPwmHooAK;165563534113;Västerås Bilfrakt AB;Stolpgatan 3;VÄSTERÅS;070-6771775;6613879;1543348;;979
yzdM2_vmOU;195208064815;Roland Olaussons Måleri;Köleröd 171;KLÖVEDAL;073-8411916;6443874;1252842;;160
zdTZwU1AK7;165563599835;B J Trafik AB;Gunnarsbo 26;HEDEKAS;0524-40642;6507960;1262725;;128
dl54nHJJK7;165566989975;Discendo AB;Box 326;LULEÅ;070-6205800;;;;382
zlwvOJ7aQB;196402068933;Uffes Bil & Motor / Bilservice;Håkingevägen 5;NORRFJÄRDEN;0911-209395;7268531;1764502;;153
0VdSl54mnO;196204150913;Tasar Yasar;Taxvägen 13;HALMSTAD;073-1567587;6283526;1323798;;269
VVglCnUbko;196705068937;Pixi Lågprisbutik;Kengisgatan 4;PAJALA;0978-71080;7477039;1826556;;268
hMZ5mUoJK7;165569076853;Rose Garden;Rådhusesplanaden 2;UMEÅ;090-130099;7087479;1719396;;269
xj_COqqqbk;165562219484;Sofiero Villapark AB;Flyinge 9;FLYINGE;046-64080;6180550;1345112;;400
zgRlj2X44v;169696176776;HB Bo Eriksson Mediainformation;Cylindervägen 12;NACKA STRAND;08-6012525;6579602;1634284;;247
zMWs_mm1HG;165560772419;Docent i Tandlossningssjukdomar Jan Håkansson;Praktikertjänst AB;STOCKHOLM;040-306300;6581767;1628339;;113
0SgPjw555-;165562850718;Degerfors Sotningsdistrikt AB;Holmtorpsgatan 1;DEGERFORS;0586-40950;6568805;1421657;;166
LSggRlsCw5;165562754209;Ekonom M Forsberg Förvalt AB;Tingvallagatan 13;SÄFFLE;070-7682666;6560768;1335413;;249
ihMPZX44vm;165567553291;Sjöbo Hyrcentrum AB;Södergatan 11;SJÖBO;0416-10044;6168521;1367718;;184
y~xgPw555-;196207156917;A E El;Malmavägen 29;KOLSVA;0221-51747;6606193;1503858;;156
y0ddSSRRlP;168020037043;Vidastiftelsen;Grev Turegatan 18;STOCKHOLM;08-6620175;6581686;1629236;;13
xxT2s-HGqb;196909213941;Asp Åsa;Sadelmakarvägen 9;TULLINGE;08-6072970;6567273;1620901;;85
zl2_5nGqko;165565375671;Gruvstigaren AB;Norrskedika Gruvor 221;ÖSTHAMMAR;0173-15224;6688579;1639513;;594
zS25nHoJK7;169697417047;Elservice Poolen;Sjöängsvägen 3B;SOLLENTUNA;070-4575357;6595499;1620042;;156
0~zW_XOUHG;165569329377;Ma Cartech AB;Norra Parkgatan 4;LÖNSBODA;070-5521587;6253025;1408451;;76
hMZXmGqqko;165564974615;Urban Vision AB;Backåkersvägen 14;MALMÖ;040-301775;6165561;1321375;;254
xWC--vq7eu;196802123064;Salaithong Kanchana;Kungsgatan 23;BODEN;0921-470199;7315508;1769142;;269
LgR2CXOUHG;196606181144;Salong Branér;;;08-7412927;;;;187
dM_mmHoJK7;165567802946;Bobergolje AB;Torp Nöjet 150;ÄLVÄNGEN;0303-214999;6429947;1281510;;363
VSPwmHbboJ;195503167107;MoWä Skinn & Hantverk;Romarheden 123;MALUNG;0280-10166;6731553;1384547;;390
LMZsvqK7eu;195311054653;Dressyrspecialisten i Halmstad;Klara Johansons Gata 3;HALMSTAD;070-9438183;6287185;1319707;;171
yzzWW2ww-X;165567976666;Raggårdens Ekoägg AB;Arentorp Torpa 15;VARA;0512-13903;6460115;1325558;;8
0xWCCwnnU1;165568156664;Lars Klingström AB;Skarphagsgatan 43;NORRKÖPING;070-5235170;6494834;1520593;;257,228
LW_5OJA7eu;165561381285;Ingenjörsfirma R Berg AB;Solrosvägen 76;ÄLVSJÖ;08-970135;6575121;1623081;;540
L~dP-H77eu;167572017320;Riksbyggens Brf Gbghus Nr 26;Marklandsgatan 61;GÖTEBORG;031-415184;6400439;1269107;;12,13
~zdlZwvmOU;169697645357;SA Verkstad;Strömsätravägen 18;SKÄRHOLMEN;070-7678507;6575832;1620980;;153
izSjjwvmOU;165568557143;Abm Design AB;Gevärsgatan 11B;HELSINGBORG;042-150012;6220262;1307423;;247,513
ihdxl2w5X4;168024706767;Ideella Föreningen Korsets Stöd R F;Fackskärsvägen 3;KVICKSUND;016-342266;6593751;1529866;;26,560
0SSgM2w5X4;169697639244;Ls Utveckling HB;Sandvägen 25;TORNA-HÄLLESTAD;046-53338;6174726;1349593;;401
~dRPwUbkJA;169696810747;Delfi Redovisningsbyrå HB;Djurgårdsgatan 9;GÖTEBORG;031-7758323;6403674;1269025;;249
xggRCvvmOU;194805068675;Sjöström Rickard;Bjärnhultsvägen 74;LINDERÖD;076-8608896;6204113;1374603;;540,241
zRw-UAcEQB;167732001313;Hsb Bostadsrättsförening Järnet i Karlst;Gruvgången 27;KARLSTAD;054-561431;6586502;1366581;;12
zR_-nqAA7e;165564591583;Höglunda Spannmål AB;Stenportsgatan 22;LIDKÖPING;0510-532233;6489978;1345388;;8
~gPsCwwww5;168559002004;Tanums Hembygdsförening;Apoteksvägen 7;TANUMSHEDE;0525-29991;6519878;1240440;;85
zRRZC4Gbko;195405150979;Assistansfirman;Södergatan 41;HELSINGBORG;042-212100;6216632;1306688;;402,1379
zllZwUGbko;162120000019;Upplands Väsby Invandrarservice;Dragonvägen 86;UPPLANDS VÄSBY;08-59097000;6601702;1619136;;1379
0hLWZw555-;168732022317;Hammarö FöretagsCentrum;Mörmovägen 8;SKOGHALL;054-518898;6580296;1367020;;362
iLxxggZsCw;197307210455;Tony Eriksson Måleri;Vegagatan 12;SUNDBYBERG;070-4338978;6584683;1622825;;160
yhdSl5mnU1;165566296488;TJ Byggentreprenad AB;Ölme Fridhem;KRISTINEHAMN;070-2685608;6589079;1399454;;301
iLLgj2X1HG;194906100195;Radonkonsult Byggnadsservice Kjell Rosén;Snäckvägen 20;HUDDINGE;070-5403956;6573385;1623586;;1079
L~dSSSSSST;;H H Massage;Hestra Ringväg 36A;BORÅS;033-108068;6403985;1326896;;108
yzdWlPPPPj;168620001845;Templet Fidelitas av Tempel Riddare Orden;Torvaldsgatan 4;ÅMÅL;0532-13733;6552208;1321848;;174,13
LggMZZ___C;168460022141;Svenska Psoriasisförbundet PSO;Baskemöllegatan 3D;MALMÖ;040-236348;6166013;1324812;;85
~zgsCOqboJ;165568978687;Elgrossen Syd AB;Pinjegatan 5;MALMÖ;040-214770;6163826;1325731;;38
hdRlPwXnOU;165566741780;Björns Rör AB;Fasanvägen 4;STOCKARYD;0382-20328;6355310;1427551;;170
izSPwnGGbk;165566556600;Gbg Konsult & Invest AB;Stamsjövägen 16;LERUM;0302-71840;6409643;1289434;;237
~zSM_nGqko;169697363019;Almgrens Måleri & Allservice;Ekorrstigen 2;ENHÖRNA;073-3119141;6571417;1598256;;160
dSgsXHbboJ;165566761317;Work Agent Jobbcoachning;Portgatan 3;ESKILSTUNA;08-40025050;6584258;1540063;;245
ySPw5-XX4v;165020177753;Swedbank;Hotellgatan 1;KUNGSHAMN;0523-39940;6479881;1233441;;14
0~xMlj22Zs;165164019852;Swedbank Sjuhärad;Alingsåsvägen 1;SANDARED;033-166500;6402367;1320430;;14
0dTZ-HoJK7;165567928006;All-Tid Hemtjänst & Service AB;Nykroppagatan 25;FARSTA;08-389916;6571301;1629912;;461
dMs-UAcEQB;165566627922;Siag Fastighets AB;Argongatan 3;MÖLNDAL;031-272309;6397156;1273693;;237
hddxl5mnU1;167696237655;Brf Slottsträdgården 1;Nanna Svartz Gata 3;VÄSTERÅS;021-8130673;6609522;1541646;;12
zSP5OoeuEa;165569392359;Bilförmedlingen i Väsby AB;Truckvägen 16;UPPLANDS VÄSBY;08-335241;6601558;1620103;;76
hzl54nq7eu;196412207190;MU Konsult;;;070-5322470;;;;406
0zSSTPjjj2;168750011226;Örebron-Vermlannin Piiri;Hallänningsgatan 21B;KARLSKOGA;0586-55430;6579818;1425968;;85
hzRlCn11HG;165565930780;Framtidsekonomi i Mälardalen AB;Musseronvägen 17;VÄSTERÅS;070-7455633;6605084;1541142;;385,249
VLWsswnU1H;165566389887;Rud Pedersen Public Affairs Company AB;Kaserntorget 5;GÖTEBORG;031-7111190;6404114;1270907;;520,247
LMPjCwwXX4;193403218211;Gösta Heilborn Jr Advokat AB;Östra Allégatan 8;SKILLINGE;0414-31355;6150919;1403911;;699
LMMlZ54mnO;167970001595;Riksbyggens Brf Luleåhus Nr 7;Box 203;LULEÅ;070-2664630;;;;12
LgRRlwvOU1;198405316053;Moderna Smycken;Östra Storgatan 5;JÖNKÖPING;036-127180;6407624;1402756;;60
ddWljZ__w5;198307250590;Sasy Mankan;Planetvägen 66;NORRTÄLJE;0176-13565;6631763;1664061;;266
zTgWZ544mn;194511232953;Marino Johansson;Snararp 149;VIMMERBY;0496-42037;6401977;1481237;;8
xl_-OoucaQ;165569499212;A Y Company AB;Lugnets Allé 56;STOCKHOLM;08-6407518;6578255;1631095;;267
yhLSM_CC5-;193806229237;Mora Baeza Gabriel;Kaknäsvägen 72;STOCKHOLM;08-6602276;6581992;1632951;;572,470
iyyzdMss_C;162120002734;KomVux Älvsbyns;Medborgargatan 4;ÄLVSBYN;0929-17300;7295723;1738661;;96
hdTjjCXXvm;165567809149;Rimex AB;Kindlyckevägen 1;RIMFORSA;0494-20200;6445689;1492882;;162,180
zSR2s____C;195312104812;Landén Byggfirma;Storgatan 6;GREBBESTAD;0525-66000;6516578;1236533;;522,193
dRs__XmmnO;165563571982;Barks Mekaniska AB;Hejargatan 7;ESKILSTUNA;070-7721016;6580860;1538647;;741
xxSSPww-4v;169696827337;Rösselvik Highlands HB;Rösselvik 376;FAGERFJÄLL;070-5122142;6434263;1254842;;8
L~TTj55Xvm;165569934457;RK Construction Management AB;Häggvägen 16;OSKARSHAMN;070-2031446;6349030;1538111;;522,406
hzMZ4nooJA;162120000803;Göransgården Äldreboende;Norra Hansegatan 4;VISBY;0498-263427;6393158;1649472;;461
LSl511qqko;195906234033;Anders Persson Byggprojektering;Strömgatan 2;KALMAR;073-2551335;6282064;1534031;;254,1079
VgsC54qqbk;162120000530;Tabergskolan;Nissanvägen 19;TABERG;036-64751;6396857;1397479;;192
hxTP5UUHqb;165564872017;Skandinavisk Bevattning Lars Åkerberg AB;Valhallavägen 141;STOCKHOLM;08-6642406;6582327;1629929;;1459
L~TP5UUHqb;196709250812;Marine Projekt Bygg och Renovering i Stockholm;Sänkevägen 4;ÖSMO;076-2949438;6542237;1620699;;522,193
VVLdSTTTTg;;H P Villabygg;Skredsviks Backa 248;UDDEVALLA;0522-641770;6477136;1256951;;522
xggMRR22Zs;195606197175;S. Andersson Transport;Gammelvägen 6;VÄLLINGBY;070-7337000;6585293;1617919;;979
zRlwmbboAK;165590058649;P.d. Lyftteknik AB;Mörsaregatan 11A;HELSINGBORG;042-201510;6220735;1307843;;366,1119
~SWs4HHqko;165568418692;Kungsnäs Maskin AB;Kungsnäs 198;SUNDSVALL;070-6442149;6922510;1572245;;8
~~TTWlZZs_;196001040218;Lj Tivoliservice;Bäckvägen 6;SKOGÅS;070-4137811;6566461;1633450;;170
0~zddddddx;195506059418;Tidningen Borås-Posten;Götagatan 14;BORÅS;033-121018;6402549;1328753;;97
xxPw4OJJAK;162120002064;Hallstahammars Ungdomsmottagning;Storgatan 4;HALLSTAHAMMAR;0220-24100;6610805;1523618;;470
dWs__nkkoJ;165562710847;Demarco Annons & Reklambyrå AB;Ängaröds Gård 1421;LJUNGBYHED;0435-443310;6217374;1345634;;247,513
VTjsmOooJA;165562648674;Mb Performance AB;Röhultsvägen 8;ALINGSÅS;0322-17031;6423663;1306842;;237
~xWZCC44mn;198603237515;Lundgrens Skog och Flis;Rödmyravägen 160;JÄRVSÖ;0651-40225;6844704;1512677;;554,15
yxxR2555X4;194806138907;Åström Birgitta;Örnabbsvägen 192;LULEÅ;0920-70551;7303511;1796332;;174,13
yzdgZCCw5-;165566616578;Brinkens Behandling;Risbrinksgatan 5;LINKÖPING;013-121244;6475281;1490394;;1379
0L~Ml5vmnO;165560497298;Sturefors godsförvaltning - Bostadsförvaltning;Sturefors Gård Kontoret;STUREFORS;070-5774933;6466741;1497794;;13,170
00zTPC44mn;165566524988;CommScope Solutions Sweden AB;Varuvägen 9;ÄLVSJÖ;08-51061581;6574400;1625549;;406
izMjsmmO1H;165569829053;Pita Engelbrekt;Engelbrektsgatan 26;GÖTEBORG;031-7807757;6403492;1271718;;291,105
hdR_mnnOU1;168156008255;Förskolan Maria Nyckelpiga;Mölnbovägen 21;JÄRNA;08-55171982;6552781;1600689;;175
VxxSRsvvmn;197011250029;Helena Sandström;Erik Dahlbergsgatan 39;STOCKHOLM;070-7871181;6582582;1630126;;585
dggss5nnU1;194903028225;Göransson E Anita K;Ammer 315;HAMMARSTRAND;070-2337290;7005679;1520858;;231
LdTP2ZZZZs;167744000741;Folkets Hus;Bengtsforsvägen 14;SVANSKOG;0532-30201;6565912;1313621;;85,1359
zxxWj-nnU1;165561565408;Grönt Ljus AB;Fågelsångsvägen 18;VALLENTUNA;08-51066434;6601792;1629430;;366
yLxxj22Zs_;165564680238;Montessori Förskola Föreningen Hemgårdar iMalmö;Backåkersvägen 3B;MALMÖ;040-262154;6165504;1321335;;175
dgRw-HHqko;165569826653;Värmlands Djurvård AB;Gryttom Saan;BRUNSKOG;070-5447279;6614778;1330708;;114
zWZ5-mbJAK;168220029121;Föreningen Aktiva Seniorer;Storgatan 40;LINKÖPING;013-124121;6476417;1489383;;85
VTjXvbboAK;165569268849;Manzén Trading AB;Nedralid Södra 31;MOTALA;070-5534505;6499333;1449984;;388
y0dRlZCC5-;196006252537;WS Bygg;Bona Rosenberg 1;ANEBY;0380-82045;6410292;1443737;;165
ydSg2w44vm;196505020013;Kmf Bygg & Snickeriservice;Lindalsvägen 85;TYRESÖ;070-7550508;6570127;1637247;;522
zR_w-vqqko;165567550321;Friska Leende i Malmö AB;Vimpelgatan 23;MALMÖ;070-9793666;6168904;1321949;;113
dT2CwUHHqb;;Klas Bygg;Liljegatan 4;ÖSTHAMMAR;0173-10654;6685647;1641049;;165
xgsX4mU1HG;165563202497;Sisu Group AB;Industrigatan 4;STOCKHOLM;08-50902130;6581645;1626661;;237,406
0xxj5UHqbk;195611280073;Bromma Kakelugnsmakeri;Fredrikslundsvägen 17;BROMMA;08-265637;6581144;1621638;;558,15
ihM2-4nOU1;165565179867;Sven Erik Borglund AB;Södra Mellby 6;KIVIK;0414-70185;;;;237
i~Mlll2Zs_;198207066633;N.a Entreprenad;Köpmannavägen 4;HÄLLEFORS;0591-10490;6629980;1427744;;522,220
xMP5mkeeuc;165566563812;Lj Mässmåleri AB;Allévägen 26;HUDDINGE;070-5933773;6573346;1623700;;160
VzMWPP_Cw5;165566240882;Folkuniversitetets Serviceaktiebolag;Saltsjögatan 3;SÖDERTÄLJE;08-55094930;6565022;1604173;;385
yzll2ss5-X;194311134797;Hallonbergens Video;Hallonbergsplan 5;SUNDBYBERG;08-6398933;6585863;1623004;;147
Lglsvqbbbk;165560771080;Aros Kemtvätt AB;Svartbäcksgatan 25;UPPSALA;018-133922;6639417;1602462;;169
hzWssvU1HG;168740019362;Elevhemmet Björke/Klätten;Lundsbergs Skola;STORFORS;0550-740526;6598675;1406967;;1379
idWZsvHGqb;168176006131;Uppsala If Boxningssektionen;Heidenstamsgatan 67;UPPSALA;018-255671;6641269;1603258;;19
